_id,INSEGNA,CLASSIFICAZIONE,INDIRIZZO,MUNICIPIO,TIPOLOGIA ESERCIZIO,SINGOLE,DOPPIE,TRIPLE,QUADRUPLE,QUINTUPLE,TOTALE CAMERE,POSTI LETTO
4675,LITTLE VATICAN HOUSE,4,"VIA GIACOMO BARZELLOTTI, 5-A/B",Municipio I (ex Mun XVII),Case Vacanza non IMPR,,1,,,,"",2
4676,LIVIN' ROME,3,"VIA VALSESIA, 22",Municipio III (ex Mun IV),Case Vacanza non IMPR,,2,,,,2,4
4677,LIVING RHOME,3,"VIA DEL GAMBERO, 30",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4678,LO CHALET DI TRASTEVERE,3,"PIAZZA DELLA ROVERE, 89",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",1
4679,LO ZODIACO VATICAN HOUSE,4,"VIA CIPRO, 47",Municipio I (ex Mun XVII),Case Vacanza non IMPR,,1,,,,"",2
4680,LODGE ROMA,3,"VIA PEVERAGNO, 75",Municipio XIII (ex Mun XVIII),Case Vacanza non IMPR,,1,1,,,"",5
4681,LOFT AMELIE,3,"VIA GIUSEPPE PARINI, 32",Municipio XII (ex Mun XVI),Case Vacanza non IMPR,,1,,,,"",2
4682,LOFT BLU,4,"VICOLO SAVELLI, 33",Municipio I (ex Mun I),Case Vacanza non IMPR,,,,1,,"",4
4683,LOFT CARLOTTA,2,"VIA DEL GONFALONE, 30",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4684,LOFT COLOSSEO,3,"VIA OSTILIA, 16",Municipio I (ex Mun I),Case Vacanza non IMPR,1,,,,,"",1
4685,LOFT GIULIA,4,"VIA GIULIA, 83",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,1,2
4686,LOFT GIULIETTA,4,"VIA GIULIA, 195",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4687,LOFT ORSETTO,2,"VIA DELL'ORSO, 28",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,1,1,,"",9
4688,LOFT PALERMO,3,"VIA PALERMO, 32",Municipio I (ex Mun I),Case Vacanza non IMPR,1,,,,,"",1
4689,LOFT QUARK SAN PIETRO,4,"SALITA DI MONTE DEL GALLO, 12",Municipio IX (ex Mun XII),Case Vacanza non IMPR,1,,,,,"",1
4690,LOFT SOFIA,2,"VIA DEL GONFALONE, 30",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4691,LOFT TRILUSSA,4,"VICOLO DE' RENZI, 3",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4692,LOFT VITTORIA,2,"VIA DEL GONFALONE, 30",Municipio I (ex Mun I),Case Vacanza non IMPR,1,,,,,"",1
4693,LOFT 51,4,"VIA NAZIONALE, 51",Municipio I (ex Mun I),Case Vacanza non IMPR,1,1,,,,"",3
4694,LOLLO HOUSE ROMANTIC HOLIDAYS,3,"VIA DEI LIGURI, 15","",Case Vacanza non IMPR,,1,,,,"",2
4695,LONGHI HOLIDAYS HOUSE,2,"VIA MARCELLO II, 22",Municipio XIII (ex Mun XVIII),Case Vacanza non IMPR,,1,,,,"",2
4696,LOOPHOUSE SPANISH STEPS,3,"VIA DELLA LUPA, 25",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,1,,,"",5
4697,L'ORANGERIE,3,"VIA UGO BASSI, 7",Municipio XII (ex Mun XVI),Case Vacanza non IMPR,1,1,,,,"",3
4698,LOST IN ROME,4,"VIA FRANCESCO CARACCIOLO, 6",Municipio I (ex Mun XVII),Case Vacanza non IMPR,,1,,,,1,2
4699,LOTUS APARTMENT,2,"VIA DEI GIUBBONARI, 97/A",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4700,LOUIS' HOUSE HOLIDAY,3,"VIA FLAVIA, 112",Municipio I (ex Mun I),Case Vacanza non IMPR,1,2,,,,"",5
4701,LOVE IN TRASTEVERE,4,"VIA NATALE DEL GRANDE, 51",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4702,LOVE TRASTEVERE ACCOMODATION,3,"VIA DELL'ARCO DI S. CALISTO, 52",Municipio I (ex Mun I),Case Vacanza non IMPR,,2,,,,"",4
4703,LOVELY APARTMENT IN CENTRAL TRASTEVERE,3,"VIA DEL MORO, 7",Municipio I (ex Mun I),Case Vacanza non IMPR,,1,,,,"",2
4704,LOVELY HOME IN ROME,4,"VIA GERMANICO, 216",Municipio I (ex Mun XVII),Case Vacanza non IMPR,,1,1,,,"",5
4705,LOVELY HOUSE HOLIDAYS,4,"VIALE MANZONI, 101",Municipio I (ex Mun I),Case Vacanza non IMPR,,,1,,,"",3
4706,LOVELY TRASTEVERE,4,"VICOLO DEL LEOPARDO, 32",Municipio I (ex Mun I),Case Vacanza non IMPR,1,,,,,"",1
4707,LOVELYAPART ROME,3,"VIA DEGLI IBERNESI, 9",Municipio I (ex Mun I),Case Vacanza non IMPR,,,,,,"",1
4708,LOVING HOLIDAYS ROME,3,"VIA MARCELLO II, 22",Municipio XIII (ex Mun XVIII),Case Vacanza non IMPR,,1,,,,"",2
4709,LPM APARTMENT,4,"VIA DEI CAPPUCCINI, 27",Municipio I (ex Mun I),Case Vacanza non IMPR,,,1,,,"",3
4710,LUCI,4,"PIAZZA AMERICO CAPPONI, 9",Municipio I (ex Mun XVII),Case Vacanza non IMPR,,1,,,,1,2
